"anno";"mes";"temp_max_media";"temp_min_media"
2000;1;30.322580645;10.967741935
2000;2;29.379310344;10.724137931
2000;3;28.322580645;8.580645161
2000;4;23.866666666;7.333333333
2000;5;19.161290322;4.225806451
2000;6;15.8;4.133333333
2000;7;17.129032258;1.709677419
2000;8;18.225806451;3.483870967
2000;9;18.666666666;5.466666666
2000;10;24.193548387;7.387096774
2000;11;26.233333333;8.9
2000;12;29.806451612;11.193548387
2001;1;30.161290322;11.806451612
2001;2;31.111111111;12.555555555
2001;3;28.838709677;9.870967741
2001;4;24.066666666;7.166666666
2001;5;18.161290322;4.806451612
2001;6;17.133333333;1.033333333
2001;7;16.096774193;5.032258064
2001;8;18.129032258;5.225806451
2001;9;18.366666666;5.066666666
2001;10;23.548387096;8.225806451
2001;11;25.833333333;8.9
2001;12;30.580645161;12.258064516
2002;1;30.961538461;11.615384615
2002;2;30.0;11.607142857
2002;3;28.774193548;10.387096774
2002;4;23.466666666;6.533333333
2002;5;19.838709677;5.483870967
2002;6;14.153846153;2.884615384
2002;7;17.0;2.096774193
2002;8;17.258064516;5.193548387
2002;9;20.172413793;5.862068965
2002;10;23.096774193;7.483870967
2002;11;26.3;8.333333333
2002;12;27.806451612;11.096774193
2003;1;31.064516129;12.548387096
2003;2;30.5;10.75
2003;3;28.766666666;10.166666666
2003;4;24.233333333;6.2
2003;5;20.258064516;2.677419354
2003;6;18.333333333;5.533333333
2003;7;17.129032258;1.225806451
2003;8;18.419354838;2.967741935
2003;9;21.689655172;5.827586206
2003;10;26.322580645;7.64516129
2003;11;28.0;10.133333333
2003;12;28.533333333;10.2
2004;1;30.096774193;12.548387096
2004;2;29.724137931;11.24137931
2004;3;29.193548387;10.838709677
2004;4;22.9;8.566666666
2004;5;19.258064516;2.806451612
2004;6;17.4;2.8
2004;7;16.483870967;3.032258064
2004;8;17.870967741;3.451612903
2004;9;21.433333333;5.4
2004;10;22.903225806;7.64516129
2004;11;25.966666666;10.4
2004;12;29.419354838;11.838709677
2005;1;30.741935483;11.903225806
2005;2;30.714285714;12.535714285
2005;3;28.483870967;11.225806451
2005;4;25.379310344;6.517241379
2005;5;17.483870967;5.322580645
2005;6;16.7;7.233333333
2005;7;16.516129032;3.161290322
2005;8;17.322580645;6.451612903
2005;9;18.933333333;4.8
2005;10;22.709677419;7.193548387
2005;11;27.266666666;9.766666666
2005;12;28.322580645;11.451612903
2006;1;30.741935483;13.387096774
2006;2;28.5;13.321428571
2006;3;28.483870967;8.774193548
2006;4;25.1;6.966666666
2006;5;20.548387096;5.870967741
2006;6;17.0;5.566666666
2006;7;16.733333333;5.533333333
2006;8;17.870967741;5.709677419
2006;9;21.733333333;6.366666666
2006;10;22.903225806;8.193548387
2006;11;26.733333333;9.433333333
2006;12;28.741935483;11.322580645
2007;1;29.967741935;13.225806451
2007;2;28.321428571;11.75
2007;3;27.387096774;10.612903225
2007;4;23.466666666;6.7
2007;5;18.096774193;2.387096774
2007;6;14.433333333;0.866666666
2007;7;14.677419354;2.387096774
2007;8;15.1;0.9
2007;9;19.620689655;4.517241379
2007;10;24.612903225;6.93548387
2007;11;27.933333333;9.366666666
2007;12;28.870967741;10.677419354
2008;1;30.870967741;13.677419354
2008;2;30.035714285;13.142857142
2008;3;28.258064516;11.161290322
2008;4;25.166666666;7.833333333
2008;5;20.354838709;5.354838709
2008;6;16.133333333;2.266666666
2008;7;15.709677419;3.580645161
2008;8;17.419354838;4.032258064
2008;9;20.8;6.166666666
2008;10;24.225806451;7.258064516
2008;11;28.5;10.5
2008;12;29.64516129;12.612903225
2009;1;32.129032258;13.0
2009;2;31.357142857;12.392857142
2009;3;30.677419354;11.225806451
2009;4;27.166666666;8.6
2009;5;21.29032258;6.419354838
2009;6;17.233333333;3.666666666
2009;7;16.354838709;2.64516129
2009;8;18.29032258;5.129032258
2009;9;18.466666666;5.333333333
2009;10;24.225806451;8.161290322
2009;11;25.433333333;9.3
2009;12;30.129032258;11.354838709
2014;1;29.666666666;15.0
2014;2;28.892857142;12.75
2014;3;27.064516129;11.032258064
2014;4;23.0;7.827586206
2014;5;19.129032258;6.516129032
2014;6;14.433333333;2.833333333
2014;7;15.36;4.8
2014;8;17.870967741;5.419354838
2014;9;17.633333333;7.266666666
2014;10;24.466666666;9.6
2014;11;26.142857142;10.5
2014;12;27.709677419;11.870967741
2015;1;30.774193548;14.161290322
2015;2;29.25;14.0
2015;3;29.580645161;13.161290322
2015;4;25.9;9.333333333
2015;5;20.677419354;5.741935483
2015;6;18.566666666;2.166666666
2015;7;15.903225806;3.870967741
2015;8;16.903225806;7.29032258
2015;9;19.366666666;7.766666666
2015;10;20.166666666;8.7
2015;11;23.766666666;11.5
2015;12;28.517241379;13.48275862
2017;1;32.516129032;16.225806451
2017;2;30.214285714;14.857142857
2017;3;27.64516129;11.93548387
2017;4;23.7;9.033333333
2017;5;17.0;6.483870967
2017;6;14.3;3.266666666
2017;7;15.451612903;2.93548387
2017;8;15.903225806;4.193548387
2017;9;19.0;6.3
2017;10;21.903225806;8.064516129
2017;11;26.4;11.433333333
2017;12;29.451612903;13.354838709
2018;1;29.419354838;14.322580645
2018;2;29.821428571;13.928571428
2018;3;28.516129032;11.064516129
2018;4;24.4;9.066666666
2018;5;20.612903225;6.354838709
2018;6;16.033333333;3.033333333
2018;7;15.064516129;3.612903225
2018;8;18.258064516;3.580645161
2018;9;20.1;7.366666666
2018;10;22.677419354;8.967741935
2018;11;27.7;11.766666666
2018;12;28.322580645;13.064516129
2019;1;30.419354838;14.548387096
2019;2;30.821428571;15.071428571
2019;3;27.838709677;11.354838709
2019;4;23.4;8.9
2019;5;19.129032258;5.903225806
2019;6;15.4;3.466666666
2019;7;16.129032258;2.774193548
2019;8;19.903225806;4.419354838
2019;9;20.766666666;6.3
2019;10;23.64516129;8.967741935
2019;11;29.0;12.3
2019;12;30.64516129;14.225806451
